次のうち、一番大きい天体はどれ？,太陽,月,火星,地球,1
福山雅治がふるさと大使を務めている都道府県はどれ？,福岡県,宮崎県,福島県,長崎県,4
タレント萩原流行。「流行」は何と読む？,りゅうこう,るぎょう,ながれ,るこう,3
次のうち、ハリー・ポッターはどこの国を舞台とした物語？,日本,イギリス,アメリカ,フランス
「ワルツ」は一般的に何拍子？,二拍子,四拍子,一拍子,三拍子,4
次のうち、生駒里奈、白石麻衣などが所属するアイドルグループはどれ？,乃木坂47,乃木坂49,乃木坂48,乃木坂46,4
矢部浩之と岡村隆史の2人からなる人気のお笑いコンビはどれ？,セブンティセブン,シックスティシックス,エイティエイト,ナインティナイン,4
2012年に上戸彩と結婚したEXILEのメンバーはだれ？,NESMITH,HIRO,ATSUSHI,TAKAHIRO,2
ユッキーナの愛称で知られるタレントはだれ？,南明奈,木下優樹菜,小池里奈,秋山莉奈,2
ウエンツ瑛士と小池徹平からなる2人組の名前は何？,WaK,EaK,EaT,WaT,4
「白戸家」のCMを放送している携帯電話会社はどこ？,NTTドコモ,ウィルコム,SoftBank,au,3
踊る大捜査線の主人公の名字は？,青烏,青鳥,青島,白鳥,3
次のSMAPの曲で、槇原敬之が作曲したものはどれ？,らいおんハート,夜空ノムコウ,世界に一つだけの花,セロリ,3
次のうち、男性声優はどれ？,時田光,サエキトモ,菊池正美,仲西環,3
高倉健が演じたことのない役は？,ゴルゴ13,佐々木小次郎,坂本龍馬,空手家,3
次のうち、宇多田ヒカルのシングル曲で存在するタイトルは？,光,灯,音,幻,1
mihimaruGTの大ヒット曲といえば？,気分上々→←,気分上々↑←,気分上々↑↑,気分上々→→,3
タカアンドトシのタカの出身地は次のうちどこ？,小樽市,札幌市,旭川市,富良野市,2
ドラえもんの色は青、では妹は？,赤色,黄色,黒色,青色,2
「十文字ラーメン」はどこのご当地ラーメン？,秋田県,岐阜県,山口県,鹿児島県,1
次のバーミヤンのメニューのうち最もカロリーが高いものはどれ？,若鶏のからあげ,フカヒレスープ,本ズワイ蟹のサラダ,海老マヨネーズ,4
「発効」の対義語はどれ？,卓効,即効,無効,失効,4
カブトムシの足の本数は？,8本,10本,6本,12本,3
東京タワーの所在する苦は？,中央区,品川区,港区,千代田区,3
大変臭い南国の果物は？,レモン,りんご,ドリアン,バナナ,3
1000円は、2500円の何割？,3割,1割,2割,4割,4
東京スカイツリーの公式マスコットキャラの名称はどれ？,スカイさん,スカリーちゃん,カストロくん,ソラカラちゃん,4
スキンケアというとき、手入れをする体の部位はどこ？,髪,目,肌,内臓,3
次のうち、アジアの国はどれ？,インドネシア,ガーナ,ノルウェー,ペルー,1
中国と国境を接していない国は？,ロシア,モンゴル,北朝鮮,アメリカ,4
Windows標準搭載のショートカットキーで、「Ctlt + X」はどんな動作をする？,ペースト,切り取り,コピー,動作しない,2
社員が任意の時間に出社・退社できる制度を何と呼ぶ？,アバウトタイム,フリータイム,フレックスタイム,ストライキ,3
次のうち、卵料理はどれ？,ちまき,すまき,うまき,えまき,3
「さくら」と呼ばれるのは何の肉？,鹿,馬,熊,猪,2
代表作に叙事詩「失楽園」がある17世紀のイギリスの詩人は？,バイロン,ワーズワース,ミルトン,チョーサー,3
和歌で、「あおによし」といえばどこにかかる枕詩？,京都,難波,奈良,近江,3
ある行為が政教分離に反していないかを判断するために作られた、アメリカ合衆国の有名な判例理論は？,スイカ・テスト,イチゴ・テスト,,レモン・テスト,メロン・テスト,3
南オセチアとアブハジアをめぐってロシアと対立している国はどこ？,アルメニア,ウクライナ,グルジア,アゼルバイジャン,3
次の世界遺産のうち、ペルーにあるのはどれ？,イグアスの滝,グランプラス,クスコ,ブルーモスク,3
このように私は聞いた」、経文の冒頭の言葉を意味する四字熟語は次のうちどれ？,如是我聞,是聞如我,我如是聞,聞我如是,1
大野市があるのは福井県ですが、大野城市があるのはどの都道府県？,鹿児島県,秋田県,福岡県,静岡県,3
諏訪大社で行われる祭りである「御柱祭」。何年と何年に行われる？,子年と未年,寅年と申年,巳年と亥年,辰年と酉年,2
代表作に叙事詩「失楽園」がある17世紀のイギリスの詩人は？,バイロン,ワーズワース,ミルトン,チョーサー,3
慣用句で、まとまった金額を不足なくそろえることを「何を揃える」という？,口,耳,顔,首,2
キウイフルーツの原産地はどこ？,中国,カナダ,ニュージーランド,オーストラリア,1
アフリカ大陸で最も大きい国は？,南アフリカ共和国,アルジェリア,マリ,ナイジェリア,2
律令制度において、現在の刑法に相当するのは何？,式,令,律,格,3
旗の色から連想された、共産主義のシンボルである色は何色？,白,黒,青,赤,4
律令制度において、現在の刑法に相当するのは何？,式,令,律,格,3
経済学の父とよばれている人物は次のうちどれ？,アンドレス・セゴビア,アダム・スミス,アントニオ・イノキ,山田太郎,2
1974年、アメリカの現職の大統領として初めて日本を公式訪問したのは誰？,フォード,ジョンソン,カーター,ニクソン,1
ナイル川の流域に位置する国ではないのは、次の何どれ？,ケニア,アラブ首長国連邦,ウガンダ,エジプト,2
諏訪大社で行われる祭りである「御柱祭」。何年と何年に行われる？,子年と未年,寅年と申年,巳年と亥年,辰年と酉年,2
日本海を北から南へと流れる寒流はどれ？,日本海流,リマン海流,対馬海流,千島海流,2
三世一身の法が出されたのはいつ？,710年,718年,723年,743年,3
ウォール街で最も有名な日本人」と呼ばれた確率論の世界的権威の金融デリバティブ理論は？,伊藤の定理,くもの巣理論,プロスペクト理論,実物的景気循環論,1
「東京２３区」に含まれない区名は次のうちどれ？,目黒区,南区,北区,江東区,2
昭和期にいわれた言葉で「赤いダイヤ」といえば小豆ですが、「黒いダイヤ」といえば？,石炭,かずのこ,小豆,さくらんぼ,1
東野圭吾が第31回江戸川乱歩賞を受賞した作品は？,容疑者Xの献身,流星の絆,放課後,鳥人計画,3
金融庁はどの省庁に属する外局？,会計検査院,内閣府,総務省,財務省,2
前漢の武帝のときに、司馬遷が編んだ中国最初の紀伝体の正史はどれ？,三国志,史記,前漢書,後漢書,2
永遠に変わらないほど固い誓い。この四字熟語はどれ？,海誓盟山,山海誓盟,海誓山盟,盟山海誓,3
クレムリンはどこの国の世界遺産？,韓国,チェコ,アルゼンチン,ロシア,4
次の俳人のうち、女性はどれ？,高浜虚子,橋本多佳子,水原秋桜子,山口誓子,2
河川の両側に位置する高さ5メートル前後の微高地のことを何と言う？,天井川,外来河川,内陸河川,自然堤防,4
Get out ( ) my way!カッコを埋めて「どいてくれ!」という意味の文章にするには？,to,of,with,off,2
ワインで有名なフランスの都市「ボルドー」は、何という川の下流にある？,セーヌ川,ガロンヌ川,ロワール川,ローヌ川,2
710年に都を藤原京から平城京に移した天皇とは？,天智天皇,元明天皇,持統天皇,聖武天皇,2
世界で二番目に高い山、K2のKは何の略？,カラコルム,カシミール,カンチェンジュンガ,高山,1
日本で１番面積が小さい県は香川県ですが日本で１番面積が大きい県は,香川県,沖縄県,岩手県,長野県,3
次の寺院のうち、京都市にないのはどれ？,龍安寺,鹿苑寺,建仁寺,平等院,4
二十四節気で「立春」と「啓蟄」の間にあるのは？,清明,雨水,小満,白露,2
月とすっぽんと同じ意味のことわざはクジラと「何」？,鮎,鯵,鮒,鰯,4
次のうち鎌倉五山に含まれているお寺は？,天竜寺,相国寺,円覚寺,建仁寺,3
志賀直哉の小説「小僧の神様」で、貴族院議員が小僧に御馳走したものはどれ？,蕎麦(そば),鮨(すし),天麩羅(てんぷら),鰻重(うなじゅう),2
「戦慄く」何と読む？,いななく,おののく,わななく,おどろく,3
日本で最初の漢詩集といえば？,万葉集,懐風藻,古今集,凌雲集,2
「初嵐」とはいつの季語？,春,夏,秋,冬,3
1901〜02年にハンムラビ法典の原文が発見されたペルシアの古都は？,ペルセポリス,スサ,ニネヴェ,バビロン,2
作家の武者小路実篤が1918年に宮崎県に作った理想郷の名前は？,新しき村,美しき村,慎ましき村,麗しき村,1
地震波のＰ波が到着してからＳ波が到達するまでの時間を表す用語は？,初期微動存続時間,初期微動連続時間,初期微動持続時間,初期微動継続時間,4
細胞の中にあるミトコンドリアは、どのようにして生まれたと考えられている？,化学反応で生まれた,細胞の核から分化した,宇宙からやってきた,別の生物を取り込んだ,4
次のうち、接続する方向を間違えると電流が流れない部品はどれ？,電熱線,コイル,豆電球,発光ダイオード,4
1960年、ヒューズ航空機研究所のメーマンの開発した世界初のレーザー発振器に用いられた宝石は何？,ガーネット,トルマリン,アメジスト,ルビー,4
50円玉や100円玉にも使われている「白銅」は、銅とどんな金属との合金？,亜鉛,錫(すず),ニッケル,クロム,3
日本では岐阜県苗木地方などで産出する、モース硬度8の鉱物は何？,トパーズ,コランダム,ダイヤモンド,石英,1
実験などで、それ自身は変化せずに他の物質の化学反応を促す物質を何という？,触媒,酸化剤,活性剤,還元剤,1
次のうち、最も密度が高いのはどれ？,銀,金,銅,白金,4
三角形の三辺の長さから面積を求める公式は「〇〇〇の公式」。〇〇〇に入る言葉は何？,ヘロン,ハロン,ホロン,ソロン,1
次のうち、実際にある星座はどれ？,ガ座,ハチ座,ハエ座,アリ座,2
電流の単位「アンペア」に名を残すアンペールはどこの国の科学者？,フランス,イタリア,ドイツ,アメリカ,1
陰極線は何という粒子の流れ？,陽子,分子,原子,電子,4
原子番号99の元素「アインスタイニウム」の元素記号は？,Ai,As,Ei,Es,4
第一宇宙速度といえば1秒間に何km進む速さ？,7.9km,11.2km,16.7km,20.5km,1
首都高バトル01に出てくる実車メーカーで、ゲームに登場しないのは？,NISSAN,TOYOTA,GM,HONDA,4
フランス革命を背景にした少女マンガの傑作「ベルサイユのばら」の原作者は誰？,池田理代子,美内すずえ,いがらしゆみこ,萩尾望都,1
次のアニメ作品のうち、永井豪が原作を務めていないものはどれ？,キューティーハニー,サイボーグ009,マジンガーＺ,デビルマン,2
1983年には宝塚で舞台化された、池田理代子の代表作は「〇〇〇の窓」。〇〇〇は？,アポロン,マルシュアス,オルフェウス,ヘルメス,3
アニメ「まいっちんぐマチコ先生」の主人公・麻衣マチコは何の教科の先生？,社会,英語,理科,国語,3
アニメ「アンパンマン」で、おむすびまんの具は梅干し、では、こむすびまんの具は？,具なし,しゃけ,おかか,昆布,3
「巨人の星」の花形満、「ルパン三世」の石川五エ門などの役で知られる声優は？,井上真樹夫,山田康雄,小林清志,納谷悟朗,1
ドラえもんが作られた時、最後に取り付けられたからあの部品はどこ？,鼻,耳,鈴,ポケット,1
「犯人はヤス」というネタバレで非常に有名な、堀井雄二が手掛けた名作アドベンチャーゲームは何？,オホーツクに消ゆ,さんまの名探偵,軽井沢誘拐案内,ポートピア連続殺人事件,4
「いやげ物」「マイブーム」「アウトドア般若心経」など独特のセンスを持った造語が有名な漫画家は誰？,西原理恵子,リリー・フランキー,みうらじゅん,辛酸なめ子,3
ドンジャラ村のホイ君の妹の名前は何？,ヤン,ノン,クン,サン,3
笠原郁、堂上篤あ登場する作品は？,図書館戦争,とらドラ！,アリソンとリリア,君が主で執事が俺で,1
男性用の礼服「タキシード」。名前の由来となったものは何？,演劇のタイトル,動物の品種,スポーツのルール,公園の名前,4　
ルネサンス期に活躍したダ・ヴィンチといえば、どこの国出身の画家？,オランダ,イギリス,イタリア,フランス,3
花嫁が身につけるとよいという「サムシング・フォー」とは、新しいもの・古いもの・借りたものと何？,白いもの,青いもの,黒いもの,赤いもの,2
次のうち、フランスのブランドは？,アディダス,ナイキ,ラコステ,コンバース,3
ラーメン店「ラーメン次郎」の熱狂的ファンのことを一般に何という？,ジロッティ,ジロックス,ジローラモ,ジロリアン,4
人気商品の「オリジナル・グレーズド」でも有名な、アメリカ発祥のドーナツ・チェーンは何ドーナツ？,ダンキン,クリスピー・クリーム,ミスター,ティムホートンズ,2
トルコ料理のシシカバブといえば、次のうち何の肉を串に刺して焼いたもの？,豚,牛,羊,鶏,3
紅茶の銘柄でダージリンといえばどこの国のもの？,中国,スリランカ,インド,インドネシア,3
1991年〜1994年に開業したお立ち台ディスコ「ジュラアナ東京」が存在していた場所は？,お台場,新木場,天王洲,芝浦,4
あられそばの「あられ」とは何のこと？,きのこ,とろろ昆布,貝柱,餅,3
オタフクソースが販売している子供用のソースは、「何歳からのお好みソース」？,０歳,１歳,３歳,５歳,2
果物の王様、ドリアンはパンヤ科ですが、女王のマンゴスチンは何科？,オトギリソウ科,オジギソウ科,パンツ科,オトジリソウ科,1
日本で最初に開通した高速道路はどれ？,名神高速道路,東名高速道路,中央自動車道,関越自動車道,1
組曲「展覧会の絵」を作曲したロシアの作曲家は？,ストラビンスキー,チャイコフスキー,ムソルグスキー,プロコフィエフ,3
大阪市営地下鉄御堂筋線の起点は江坂駅ですが、終点は何駅？,中百舌鳥駅,住之江公園駅,八尾南駅,今里駅,1
青森出身、鮮烈で独特な木版画で世界的に知られる芸術家といえば？,山下清,和田勉,岡本太郎,棟方志功,4
アメリカで大統領の就任式が開かれるのは、何月何日と定められている？,３月２０日,６月２０日,１月２０日,９月２０日,3
ポーカーで、俗に「ブタ」とよばれるカードの組み合わせは何？,ハイカード,スリーカード,ワンペア,ツーペア,1
JR東日本と、JR北海道の境界駅はどこ？,中小国,蟹田,青森,津軽今別,1
ハードロックバンド「GOTTHARD」はどこの国のバンド？,フィンランド,スウェーデン,スイス,アメリカ,3
九州地方の調味料「ゆずこしょう」に使われる香辛料は、コショウではなく何？,ショウガ,ハッカ,わさび,唐辛子,4
打楽器の1種「カスタネット」の語源となった木の実はどれ？,クルミ,カシューナッツ,栗,アーモンド,3
「アラレガコ」「アユカケ」などの別名がある魚は？,カマキリ,バッタ,イナゴ,コオロギ,1
童謡「あめふり」の歌詞に出てくる植物は何？,うめ,みずばしょう,まつ,やなぎ,4
Twitterで、アクセスエラーでページが読みこめない時に表示される動物は何？,カメ,ゾウ,ワニ,クジラ,4
シュークリームを詰みあげて作る、ウェディングケーキとしてもおなじみのフランスのお菓子は？,カトル・カール,ガレット・デ・ロワ,クロカンブッシュ,ブッシュ・ド・ノエル,3
アメリカ合衆国に麻雀が普及しだしたのはいつ頃？,1880年,1920年,1980年,2000年,2
４コマ漫画「コボちゃん」が連載されている新聞は何？,読売新聞,日経新聞,朝日新聞,毎日新聞,1
充電が可能な二次電池の使用推奨期限はどの位の期間？,無期限,３年,５年,１０年,1
ビーグル犬の原産国はどこ？,イギリス,日本,カンボジア,アイルランド,1
「フジテレビ」といえばお台場を代表する名所ですが、お台場に移転する前のフジテレビの所在地は？,革田町,河田町,皮田町,川田町,2
日本マクドナルド株式会社の本社はどこにある？,東京タワー,六本木ヒルズ,ミッドランドスクエア,新宿アイランドタワー,4
犬の落ち着きをもたらすサインのことを何という？,カーミングシグナル,ハーディングシグナル,グルーミングシグナル,マーキングシグナルロックバンド,1
「横浜銀蝿」でドラムを担当したメンバーは？,翔,TAKU,Johnny,嵐,4
ダンスシーンが全編の半分以上を占める貴族の没落を描いたルキノ・ビスコンティ監督の映画は？,「家族の肖像」,「ルートヴィヒ」,「イノセント」,「山猫」,4
毎日放送で放送されていた「よゐこ部」で女性アシスタントをつとめていたアナウンサーは誰？,斎藤裕美,吉竹史,西村麻子,松本麻衣子,2
映画「タイタニック」の監督は誰？,スピルバーグ,ジャクソン,キャメロン,コッポラ,3
カンヌ国際映画館でパルムドールを受賞した、今村昌平監督の映画は何？,あゆ,さけ,まぐろ,うなぎ,4
17世紀後半に文楽の成立した地であり、現在では国立文楽劇場が置かれている都市はどこ？,那覇,大阪,東京,福岡,2
「ユージュアル・サスぺクツ」のストーリーのバックボーンとなる麻薬密輸の黒幕の名前は？,ライガー・ハセ,カイザー・ソゼ,ダイドー・コガ,タイザー・ハク,2
松本人志監督の映画「大日本人」、主人公の名前は？,大鈴木大,大田中大,大佐藤大,大渡辺大,3
1986年にTBSにて放送されたドラマ「男女7人夏物語」の主題歌を歌っている歌手は？,浜田麻里,森川由加里,石井明美,荻野目洋子,3
ダンスシーンが全編の半分以上を占める貴族の没落を描いたルキノ・ビスコンティ監督の映画は？,「家族の肖像」,「ルートヴィヒ」,「イノセント」,「山猫」,4
美空ひばりの「川の流れのように」は、次のうちどこにある川をモデルにしたもの？,香港,パリ,ニューヨーク,ロンドン,3
次のうち、坂本真綾の曲ではないのはどれ？,プラチナ,Gift,サバイバル,ループ,3
1985年の阪神対巨人戦でバックスクリーン3連発を打たれた巨人の投手といえば？,角三男,斉藤雅樹,槙原寛己,桑田真澄,3
メジャーリーガー松坂大輔選手が小学生時代行っていた武道は？,剣道,弓道,合気道,柔道,1
ＢＧＭに合わせて、バトンを回したり、投げたりするスポーツは何？,バトンホールディング,バトンハンドリング,バトントワリング,バトンタッチング,3
フィギュアスケート・ペアで高橋成美とパートナーを組む、カナダ出身の選手は誰？,アレクセイ・ティホノフ,クリス・リード,デヴィン・パトリック,マーヴィン・トラン,4
ゴルフ・マスターズが行われるオーガスタ・ナショナルの、11・12・13番の3ホールを特に何という？,インポッシブルコーナー,アーメンコーナー,リップコーナー,デッドコーナー,2
競走馬「ブエナビスタ」「リーチザクラウン」などの父は？,マンハッタンカフェ,ステイゴールド,ダンスインザダーク,スペシャルウィーク,4
施設内に「野球体育博物館」が併設されている日本の野球場はどこ？,甲子園球場,インボイス西武ドーム,東京ドーム,神宮球場,3
ハワイ出身力士として、初めて横綱になったのは誰？,小錦,曙,武蔵丸,高見山,2
1995年に女優・タレントの菊池桃子と結婚したプロゴルファーは誰？,芹澤信雄,西川哲,宮本勝昌,深堀圭一郎,2
夏の全国高校野球大会で１大会83個の奪三振を記録した投手はだれ？,坂東英二,江川卓,松坂大輔,斉藤祐樹,1
ＩＯＣ・国際オリンピック委員会の本部のある都市は次のうちどこ？,ニューヨーク,パリ,ローザンヌ,シュネーブ,3
ドラえもんに登場するスネ夫の名字は？,鈴木,骨川,吉田,渡辺,2
ドラえもんの好物はどらやき，では妹のドラミちゃんの好物は？,あんぱん,クリームパン,メロンパン,どらアイス,3
将棋に使う駒の数は敵味方合わせていくつでしょう？,３０個,３５個,４０個,４５個,3
アニメちびまるこちゃんの作者といえばだれ？,さくらななこ,さくらももこ,さくらゆずこ,さくらすずこ,2
バレーボールで攻撃をすることが出来ない，守備専門のプレーヤーを何と言うでしょう？,リベロ,ディフェンス,ディフェンダー,ブロッカー,1
日本が初めてメダルをとったオリンピックはどこで開催されたオリンピックでしょう？,ストックホルム,アントワープ,アルベールヴィル,アムステルダム,2
四国には４つの県があります．高知県，愛媛県，香川県とあと１つはどこでしょう？,岡山県,愛知県,徳島県,鳥取県,3
「羊飼い」という意味の名前がつけられた犬の種類はどれ？,シェパード,スピッツ,コリー,ビーグル,1
安くて美味しい「アンデスメロン」の原産国はどこ？,ニュージーランド,日本,スイス,アメリカ,2
野球のタイトルで，三冠王の対象にはならないものはどれ？,首位打者,本塁打王,盗塁王,打点王,3
日本初のボウリング場は何時代にできた？,江戸時代,明治時代,大正時代,昭和時代,1
１８４０年代以降，「世界の工場」と呼ばれるようになった国はどこ？,日本,アメリカ,イギリス,中国,3
「八百長」という言葉が生まれるきっかけとなったものはどれ？,将棋,囲碁,花札,麻雀,2
ダーツの発祥の地はどこ？,アメリカ,フランス,ロシア,イギリス,4
県面積最大の県はどこ？,北海道,長野県,岩手県,福島県,3
「小鰭」はなんと読む？,こばんざめ,こいわし,こしょう,こはだ,4
海外の有名ブランド，シャネルの始まりは何屋さん？,帽子屋,靴屋,洋服屋,鞄屋,1
猫の汗は体のどこから出る？,額,鼻,耳の裏,足の裏,4
卓球の公式戦で１セットは何点先取？,１１点,１５点,２１点,２５点,1
サンリオのキャラクターであるハローキティーの血液型は何？,A型,B型,O型,AB型,1
漢字で「翻車魚」と書く動物は何？,トド,フグ,マンボウ,イルカ,3
魚などにふくまれる頭をよくする栄養素はなに？,DHA,DAT,DGI,DNA,1
五大陸に含まれないのはどれ？,北アメリカ,アフリカ,オーストラリア,南極,4
電話番号を調べる番号はどれ？,１７１,１０４,１０６,１０５,2
運転免許で４００ccのバイクは何歳からとれるか？,１６歳,１８歳,２０歳,２２歳,1
市長選挙に立候補できるのは何歳からか？,２０歳,２５歳,３０歳,３５歳,2
Jリーグ発足時は何チームだったか？,１０,１２,１４,１６,1
かぐや姫の特殊な能力は何でしょうか？,人を生き返らせる,飛べる,自分の体を巨大化させる,姿を消す,4
バドミントンで打ち合う「シャトルコック」についている羽は全部で何枚？,６枚,１６枚,２６枚,３６枚,2
カンヌ国際映画館でパルムドールを受賞した今村昌平監督の映画は？,あゆ,さけ,まぐろ,うなぎ,4
次のうち大きさと向きをもつベクトル量であるものはどれ？,面積,質量,温度,速度,4
三角形の三辺の長さから面積を求める公式は「◯◯◯の公式」．◯◯◯に入る言葉は？,ヘロン,ハロン,ホロン,ソロン,1
アニメ「さよなら絶望先生」に登場する「小節あびる」の声を担当していた声優は？,松来末祐,真田アサミ,新谷良子,後藤邑子,4
ソチ五輪で男子日本代表が金メダルを取った種目は何？,スキージャンプ,スノーボードハーフパイプ,フィギュアスケート,カーリング,3
アニメ「コードギアス反逆のルルーシュ」でブリタニア帝国の属領となった日本は何と呼ばれている？,エリア１１,エリア２２,エリア３３,エリア４４,1
「上毛かるた」といえばどの都道府県の郷土品？,沖縄県,北海道,群馬県,千葉県,3
ダックスフンドとはドイツ語ですが日本語に訳すとどういう意味？,タンソク犬,アナホリ犬,アナグマ犬,ウシオイ犬,3